RepRapFirmware height map file v2 generated at 2019-06-21 18:42, min error -0.655, max error 0.058, mean -0.106, deviation 0.109
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
30.00,470.00,30.00,470.00,-1.00,55.00,55.00,9,9
 -0.148, -0.030, -0.095, -0.093, -0.093, -0.050, -0.163, -0.377, -0.655
 -0.080,  0.000,  0.020,  0.003,  0.030,  0.058,  0.032, -0.123, -0.325
 -0.100, -0.008,  0.025,  0.015,  0.038,  0.030, -0.018, -0.105, -0.203
 -0.130, -0.047, -0.040, -0.040, -0.010,  0.030, -0.020, -0.075, -0.148
 -0.125, -0.020, -0.052, -0.035, -0.045, -0.020, -0.062, -0.088, -0.155
 -0.103, -0.050, -0.037, -0.037, -0.022, -0.035, -0.060, -0.103, -0.170
 -0.133, -0.070, -0.082, -0.093, -0.067, -0.100, -0.135, -0.203, -0.257
 -0.148, -0.112, -0.112, -0.123, -0.125, -0.150, -0.218, -0.228, -0.255
 -0.145, -0.138, -0.145, -0.165, -0.183, -0.245, -0.272, -0.257, -0.297
