RepRapFirmware height map file v2 generated at 2019-06-18 16:37, min error -0.350, max error 0.248, mean 0.070, deviation 0.130
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
30.00,470.00,30.00,470.00,-1.00,55.00,55.00,9,9
  0.102,  0.188,  0.205,  0.207,  0.227,  0.225,  0.190, -0.103, -0.350
  0.142,  0.207,  0.225,  0.230,  0.242,  0.248,  0.197, -0.015, -0.180
  0.085,  0.207,  0.220,  0.222,  0.233,  0.233,  0.197,  0.035, -0.088
  0.058,  0.177,  0.207,  0.212,  0.230,  0.233,  0.192,  0.093, -0.002
  0.045,  0.160,  0.172,  0.182,  0.190,  0.127,  0.157,  0.053,  0.000
  0.082,  0.080,  0.102,  0.123,  0.085,  0.093,  0.065,  0.020, -0.025
 -0.005,  0.050,  0.045,  0.032,  0.027,  0.018, -0.018, -0.050, -0.127
  0.020,  0.053,  0.060, -0.022, -0.025,  0.012, -0.055, -0.097, -0.135
  0.005,  0.027,  0.020, -0.070, -0.073, -0.112, -0.125, -0.170, -0.260
